name,n_faces_orig,filesize_kb_orig,face_pct_of_total_orig,n_faces_reduced,file_size_kb_reduced,pct_mean_dist,pct_mse,pct_hausdorff_dist,face_pct_of_total_reduced
c_head,84006,4200,29.952080094698864,1998,99,0.702832633145947,1.1321600449202915,6.9552154077480495,3.0011716285637036
l_arista,54376,2718,19.3875950197527,2000,100,0.19618977495063686,0.2883615097705384,1.7436201071085011,3.0041758043680717
l_eye,22670,1133,8.082918550422864,2000,100,0.5574816741279387,0.9521011753877557,7.6859811292448965,3.0041758043680717
l_wing,19933,996,7.107049645592367,1999,100,0.3058130081552474,0.3913035148149192,1.9375111787578054,3.0026737164658877
l_pedicel,17288,864,6.1639830568906255,2000,100,0.3216325629101788,0.4445193324533415,2.7604144792891683,3.0041758043680717
c_thorax,5629,281,2.0070025813996604,2000,100,0.8184688789616521,1.035372626862534,8.014122994377606,3.0041758043680717
c_haustellum,4311,215,1.5370737481637835,1998,99,2.2501648158551886,3.270040907554318,16.16280677072973,3.0011716285637036
c_abdomen6,4061,203,1.4479370195530328,1998,99,1.1664345410041839,1.5333884921631484,8.450785221499764,3.0011716285637036
lh_coxa,3980,199,1.4190567194831496,2000,100,0.5605794155881934,0.7949068077059211,6.156393629016503,3.0041758043680717
c_rostrum,3786,189,1.3498866180812072,2000,100,1.3387865388260403,1.7010385727162534,6.220064180492537,3.0041758043680717
lf_coxa,3679,184,1.311736098235806,2000,100,0.5665536317123732,0.7266166772100087,3.6060494625311366,3.0041758043680717
lh_trochanterfemur,3316,165,1.182309568292996,2000,100,0.35480528581799614,0.4554024241597499,2.1354115346001104,3.0041758043680717
lf_tarsus4,3283,164,1.170543520116377,1999,100,0.5193400536363213,0.6959131025570279,3.479990152321604,3.0026737164658877
lm_tarsus4,3190,159,1.1373846570731776,2000,100,0.7386625239021856,1.0526117637802421,6.414835709850533,3.0041758043680717
c_abdomen5,3175,158,1.1320364533565326,1998,99,1.089817037080226,1.446714250413568,7.791657609384085,3.0011716285637036
lf_tarsus3,3050,152,1.0874680890511574,2000,100,0.5182359785850992,0.693498661580757,3.877563767109967,3.0041758043680717
lh_tarsus5,2940,147,1.048247928462427,2000,100,0.5430744168887034,0.7282036908944449,4.645187314608046,3.0041758043680717
c_abdomen12,2885,144,1.028637848168062,2000,100,1.1131301251964345,1.471175943013951,7.676283824401334,3.0041758043680717
c_abdomen4,2866,143,1.0218634567936449,1998,99,1.066283450028582,1.451033825168625,7.0477715364498925,3.0011716285637036
lf_tarsus5,2842,142,1.013306330847013,2000,100,0.5525406807580515,0.7660161138884385,4.53343267640709,3.0041758043680717
c_abdomen3,2800,140,0.9983313604404067,2000,100,1.0670369859685402,1.415352397540282,6.419306599704444,3.0041758043680717
lh_tarsus4,2618,130,0.9334398220117803,1998,99,0.6391451004366232,0.8507975914637523,6.195276149892655,3.0011716285637036
lm_coxa,2606,130,0.9291612590384644,2000,100,0.5961771510542786,0.804085603281485,4.785128530365352,3.0041758043680717
lh_tarsus3,2590,129,0.9234565084073763,2000,100,0.6007290479532429,0.7888744460887178,4.262306009635255,3.0041758043680717
lh_tarsus2,1972,98,0.7031105152816007,1972,98,,,,2.9621173431069185
lm_tarsus3,1856,92,0.6617510732062124,1856,92,,,,2.7878751464535707
lf_tarsus2,1796,89,0.6403582583396323,1796,89,,,,2.6977498723225284
lf_tarsus1,1790,89,0.6382189768529744,1790,89,,,,2.688737344909424
lf_tibia,1709,85,0.6093386767830911,1709,85,,,,2.5670682248325174
lf_trochanterfemur,1618,80,0.5768929075687779,1618,80,,,,2.43037822573377
lm_tarsus2,1556,77,0.5547869988733117,1556,77,,,,2.3372487757983595
lm_tarsus5,986,49,0.35155525764080037,986,49,,,,1.4810586715534593
lm_tarsus1,924,46,0.32944934894533423,924,46,,,,1.3879292216180492
lm_trochanterfemur,826,41,0.29450775132992,826,41,,,,1.2407246072040137
l_haltere,824,41,0.293794657501034,824,41,,,,1.2377204313996455
lh_tarsus1,777,38,0.2770369525222129,777,38,,,,1.1671222999969957
lh_tibia,748,37,0.2666970920033658,748,37,,,,1.1235617508336588
lm_tibia,676,33,0.24102571416346966,676,33,,,,1.0154114218764083
l_funiculus,530,26,0.1889698646547913,530,26,,,,0.7961065881575391
